,engine,adequacy,fluency,rdf,lex,translation
0,google translate,5.0,5.0,,"Albert Jennings Fountain was born in New York City and died in Dona Ana County, New Mexico. He had fought in the American Civil War, during which, Jefferson Davis was a commander.","Albert Jennings Fountain se narodil v New Yorku a zemřel v Dona Ana County v Novém Mexiku. Bojoval v americké občanské válce, během níž byl velitelem Jefferson Davis."
1,google translate,5.0,5.0,,"New York City was the birthplace of Albert Jennings Fountain and he passed away in Dona Ana County, New Mexico. He fought in the American Civil War and one commander in that war was Jefferson Davis.",New York City bylo rodištěm fontány Alberta Jenningse a zemřel v okrese Dona Ana v Novém Mexiku. Bojoval v americké občanské válce a jedním velitelem v této válce byl Jefferson Davis.
2,google translate,5.0,5.0,,"Albert Jennings Fountain was born in New York City and died in Dona Ana County, New Mexico. He fought in the American Civil War where one of the commanders was Jefferson Davis.","Albert Jennings Fountain se narodil v New Yorku a zemřel v Dona Ana County v Novém Mexiku. Bojoval v americké občanské válce, kde jedním z velitelů byl Jefferson Davis."
3,google translate,4.0,3.0,,An ingredient of a bacon explosion is sausage.,Složkou výbuchu slaniny je klobása.
4,google translate,3.0,4.0,,Sausage in an ingredient in bacon explosion.,Klobása jako přísada do výbuchu slaniny.
5,google translate,3.0,4.0,,Sausage is an ingredient of a Bacon Explosion.,Klobása je součástí exploze slaniny.
6,google translate,5.0,3.0,,Alex Day became active in music in 2006.,Alex Day se stal aktivním v hudbě v roce 2006.
7,google translate,5.0,5.0,,Alex Day started performing in 2006.,Alex Day začal hrát v roce 2006.
8,google translate,5.0,3.0,,Alex Day's active years in music began in 2006.,Aktivní léta Alex Day v hudbě začala v roce 2006.
9,google translate,5.0,5.0,,"The Derbyshire Dales dish of Bakewell pudding is a dessert of ground almond, jam, butter and eggs that is delicious either hot or cold.","Bakewell pudink z Derbyshire Dales je dezert z mletých mandlí, džemu, másla a vajec, který je lahodný teplý i studený."
10,google translate,5.0,4.0,,"Bakewell pudding is a dessert from the Derbyshire Dales region that can be served warm (freshly baked) or cold. It contains ground almond, jam, butter and eggs as its main ingredients.","Bakewell pudink je dezert z oblasti Derbyshire Dales, který lze podávat teplý (čerstvě upečený) nebo studený. Jako hlavní ingredience obsahuje mleté mandle, džem, máslo a vejce."
11,google translate,5.0,5.0,,"Bakewell pudding originates from the Derbyshire Dales and is a dessert you can eat warm (freshly baked) or cold. The ingredients include ground almond, jam, butter and eggs.","Bakewell pudink pochází z Derbyshire Dales a je to dezert, který můžete jíst teplý (čerstvě upečený) nebo studený. Ingredience zahrnují mleté mandle, džem, máslo a vejce."
