,,,127,deepl,,překlad ok,celkem vět,podíl ok
adequacy,fluency,5,,,,89,127,"0,7007874016"
,,,RDF triples:  ['Alfredo_Zitarrosa | genre | Candombe'],,,,,
,,,Lexicalisation: Alfredo Zitarrosa's musical genre is Candombe.,,,,,
5,5,a,Translation:  Hudebním žánrem Alfreda Zitarrosy je Candombe.,,,,,
,,,Lexicalisation: The musical genre of Alfredo Zitarrosa is Candombe.,,,,,
5,5,a,Translation:  Hudebním žánrem Alfreda Zitarrosy je candombe.,,,,,
,,,"RDF triples:  ['Alcobendas | isPartOf | Community_of_Madrid', 'Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas', 'ENAIRE | city | Madrid', 'Madrid | country | Spain', 'Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE']",,,,,
,,,"Lexicalisation: ENAIRE, in the city of Madrid, is the operator of Adolfo Suarez Madrid-Barajas airport in Alcobendas, part of the community of Madrid in Spain.",,,,,
4,5,c,"Translation:  Společnost ENAIRE se sídlem v Madridu je provozovatelem letiště Adolfo Suarez Madrid-Barajas v Alcobendas, které je součástí španělské obce Madrid.",,,,,
,,,"Lexicalisation: Adolfo Suárez Madrid–Barajas Airport, is located in Alcobendas, Madrid, Spain. ENAIRE is based in the city and is the operating organization for the airport.",,,,,
5,5,a,"Translation:  Letiště Adolfa Suáreze Madrid-Barajas se nachází ve městě Alcobendas v Madridu ve Španělsku. Ve městě sídlí společnost ENAIRE, která letiště provozuje.",,,,,
,,,"RDF triples:  ['United_States | ethnicGroup | African_Americans', 'United_States | leader | Barack_Obama', 'A_Wizard_of_Mars | language | English_language', 'English_language | spokenIn | Great_Britain', 'A_Wizard_of_Mars | country | United_States']",,,,,
,,,Lexicalisation: A Wizard of Mars originates from the United States where Barack Obama is the leader and African Americans are an ethnic Group. The book is written in English which is a language spoken in Great Britain.,,,,,
5,4,c,"Translation:  Čaroděj z Marsu pochází ze Spojených států, kde je vůdcem Barack Obama a Afroameričané jsou etnickou skupinou. Kniha je napsána v angličtině, což je jazyk, kterým se mluví ve Velké Británii.",,,,,
,,,Lexicalisation: A Wizard of Mars is written in English which is also a language spoken in Great Britain. The book originates from the United States where African Americans are one ethnic group and Barack Obama is the leader.,,,,,
