"4,934065934","4,373626374",,91,google translate,,překlad ok,celkem vět,podíl ok
adequacy,fluency,,,,,57,91,"0,6263736264"
,,,RDF triples:  ['Alfredo_Zitarrosa | genre | Candombe'],,,,,
,,,Lexicalisation: Alfredo Zitarrosa's musical genre is Candombe.,,,,,
5,5,a,Translation:  Hudební žánr Alfreda Zitarrosy je Candombe.,,,,,
,,,Lexicalisation: The musical genre of Alfredo Zitarrosa is Candombe.,,,,,
5,5,a,Translation:  Hudební žánr Alfreda Zitarrosy je Candombe.,,,,,
,,,"RDF triples:  ['Alcobendas | isPartOf | Community_of_Madrid', 'Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas', 'ENAIRE | city | Madrid', 'Madrid | country | Spain', 'Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE']",,,,,
,,,"Lexicalisation: ENAIRE, in the city of Madrid, is the operator of Adolfo Suarez Madrid-Barajas airport in Alcobendas, part of the community of Madrid in Spain.",,,,,
5,3,c,"Translation:  ENAIRE ve městě Madrid je provozovatelem letiště Adolfa Suareze Madrid-Barajas v Alcobendas, části komunity Madrid ve Španělsku.",,,,,
,,,"Lexicalisation: Adolfo Suárez Madrid–Barajas Airport, is located in Alcobendas, Madrid, Spain. ENAIRE is based in the city and is the operating organization for the airport.",,,,,
5,3,c,"Translation:  Letiště Adolfa Suáreze Madrid–Barajas se nachází v Alcobendas, Madrid, Španělsko. ENAIRE sídlí ve městě a je provozní organizací pro letiště.",,,,,
,,,"RDF triples:  ['United_States | ethnicGroup | African_Americans', 'United_States | leader | Barack_Obama', 'A_Wizard_of_Mars | language | English_language', 'English_language | spokenIn | Great_Britain', 'A_Wizard_of_Mars | country | United_States']",,,,,
,,,Lexicalisation: A Wizard of Mars originates from the United States where Barack Obama is the leader and African Americans are an ethnic Group. The book is written in English which is a language spoken in Great Britain.,,,,,
5,4,c,"Translation:  Čaroděj z Marsu pochází ze Spojených států, kde je Barack Obama vůdcem a Afroameričané jsou etnickou skupinou. Kniha je napsána v angličtině, což je jazyk používaný ve Velké Británii.",,,,,
,,,Lexicalisation: A Wizard of Mars is written in English which is also a language spoken in Great Britain. The book originates from the United States where African Americans are one ethnic group and Barack Obama is the leader.,,,,,
5,3,c,"Translation:  Čaroděj z Marsu je napsán v angličtině, kterou se také mluví ve Velké Británii. Kniha pochází ze Spojených států, kde jsou Afroameričané jednou etnickou skupinou a Barack Obama je vůdcem.",,,,,
