"4,769230769","4,362637363",,91,cubbitt,,překlad ok,celkem vět,podíl ok
adequacy,fluency,,,,,43,91,"0,4725274725"
,,,RDF triples:  ['Alfredo_Zitarrosa | genre | Candombe'],,,,,
,,,Lexicalisation: Alfredo Zitarrosa's musical genre is Candombe.,,,,,
5,5,a,Translation:  Hudební žánr Alfreda Zitarrosy je Candombe.,,,,,
,,,Lexicalisation: The musical genre of Alfredo Zitarrosa is Candombe.,,,,,
5,5,a,Translation:  Hudebním žánrem Alfreda Zitarrosy je Candombe.,,,,,
,,,"RDF triples:  ['Alcobendas | isPartOf | Community_of_Madrid', 'Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas', 'ENAIRE | city | Madrid', 'Madrid | country | Spain', 'Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE']",,,,,
,,,"Lexicalisation: ENAIRE, in the city of Madrid, is the operator of Adolfo Suarez Madrid-Barajas airport in Alcobendas, part of the community of Madrid in Spain.",,,,,
5,5,a,"Translation:  Společnost ENAIRE je ve městě Madrid provozovatelem letiště Adolfo Suarez Madrid-Barajas v Alcobendas, které je součástí španělského společenství Madrid.",,,,,
,,,"Lexicalisation: Adolfo Suárez Madrid–Barajas Airport, is located in Alcobendas, Madrid, Spain. ENAIRE is based in the city and is the operating organization for the airport.",,,,,
5,3,c,"Translation:  Adolfo Suárez Madrid–Barajas Airport, se nachází v Alcobendas, Madrid, Španělsko. ENAIRE sídlí ve městě a je provozní organizací letiště.",,,,,
,,,"RDF triples:  ['United_States | ethnicGroup | African_Americans', 'United_States | leader | Barack_Obama', 'A_Wizard_of_Mars | language | English_language', 'English_language | spokenIn | Great_Britain', 'A_Wizard_of_Mars | country | United_States']",,,,,
,,,Lexicalisation: A Wizard of Mars originates from the United States where Barack Obama is the leader and African Americans are an ethnic Group. The book is written in English which is a language spoken in Great Britain.,,,,,
5,4,c,"Translation:  Čaroděj z Marsu pochází ze Spojených států, kde je vůdcem Barack Obama a Afroameričané jsou etnickou skupinou. Kniha je napsána v angličtině, což je jazyk, kterým se mluví ve Velké Británii.",,,,,
,,,Lexicalisation: A Wizard of Mars is written in English which is also a language spoken in Great Britain. The book originates from the United States where African Americans are one ethnic group and Barack Obama is the leader.,,,,,
3,5,c,"Translation:  Čaroděj z Marsu je napsán anglicky, což je také jazyk, kterým se mluví ve Velké Británii. Kniha pochází ze Spojených států, kde jsou Afroameričané jednou etnickou skupinou a Barack Obama jejím vůdcem.",,,,,
,,,"RDF triples:  ['Alex_Day | associatedBand/associatedMusicalArtist | Chameleon_Circuit_(band)', 'Alex_Day | genre | Electronic_music', 'Alex_Day | associatedBand/associatedMusicalArtist | Charlie_McDonnell']",,,,,
,,,"Lexicalisation: Alex Day performs electronic music, plays with the band Chameleon Circuit and is associated with the musical artist, Charlie McDonnell.",,,,,
5,5,a,"Translation:  Alex Day hraje elektronickou hudbu, hraje s kapelou Chameleon Circuit a je spojen s hudebním umělcem Charliem McDonnellem.",,,,,
,,,"Lexicalisation: Electronic musician Alex Day is part of Chameleon Circuit and associated with artist, Charlie McDonnell.",,,,,
5,5,a,Translation:  Elektronický hudebník Alex Day je součástí Chameleon Circuit a je spojený s umělcem Charliem McDonnellem.,,,,,
,,,"Lexicalisation: Alex Day, whose musical genre is Electronic music, plays with the band Chameleon Circuit and is associated with the musical artist Charlie McDonnell.",,,,,
5,3,c,"Translation:  Alex Day, jehož hudebním žánrem je Electronic music, hraje s kapelou Chameleon Circuit a je spojen s hudebním umělcem Charliem McDonnellem.",,,,,
,,,"RDF triples:  ['Hypermarcas | product | Cosmetics', 'Hypermarcas | revenue | 1800000000']",,,,,
,,,"Lexicalisation: Hypermarcas is a company which sells cosmetics; their revenue is $1,800,000,000.",,,,,
5,5,a,"Translation:  Hypermarcas je společnost, která prodává kosmetiku; jejich příjmy činí 1 800 000 000 dolarů.",,,,,
,,,"Lexicalisation: Hypermarcas makes $1,800,000,000 a year, in part from its production of cosmetics products.",,,,,
5,5,a,"Translation:  Hypermarcas vydělává 1 800 000 000 dolarů ročně, částečně díky výrobě kosmetických výrobků.",,,,,
,,,Lexicalisation: Hypermarcas earns 1800000000 annually by selling cosmetics.,,,,,
5,5,a,Translation:  Hypermarcas vydělává 18000000 ročně prodejem kosmetiky.,,,,,
,,,"RDF triples:  ['(410777)_2009_FD | discoverer | Spacewatch', '(410777)_2009_FD | periapsis | 88234300000.0', '(410777)_2009_FD | apoapsis | 259776702.47055 (kilometres)']",,,,,
,,,"Lexicalisation: Discovered by Spacewatch, (410777) 2009 FD, has an apoapsis of 259776702.47055 kilometers, and an periapsis of, 88234300000.0.",,,,,
5,1,c,"Translation:  Objeven Spacewatch, (410777) 2009 FD, má apoapsu 259776702.47055 kilometrů a periapsu 88234300000.0.",,,,,
,,,"Lexicalisation: (410777) 2009 FD, with the periapsis of 88234300000.0 and an apoapsis of 259776702.47055 km, was discovered by Spacewatch.",,,,,
5,2,c,"Translation:  (410777) 2009 FD, s periapsí 88234300000.0 a apoapsí 259776702.47055 km, byl objeven Spacewatch.",,,,,
,,,RDF triples:  ['United_States | ethnicGroup | Asian_Americans'],,,,,
,,,"Lexicalisation: One of the ethnic groups in the United States, is Asian Americans.",,,,,
5,4,c,"Translation:  Jedna z etnických skupin ve Spojených státech, jsou asijští Američané.",,,,,
,,,Lexicalisation: Asian Americans are an ethnic group in the U.S.,,,,,
5,5,a,Translation:  Asijští Američané jsou etnickou skupinou v USA.,,,,,
,,,Lexicalisation: The Asian Americans are an ethnic group of the United States.,,,,,
5,5,a,Translation:  Asijští Američané jsou etnickou skupinou Spojených států.,,,,,
,,,"RDF triples:  ['Abraham_A._Ribicoff | party | Democratic_Party_(United_States)', 'Abraham_A._Ribicoff | deathPlace | New_York_City', 'Abraham_A._Ribicoff | birthPlace | United_States', 'Abraham_A._Ribicoff | nationality | American', 'Abraham_A._Ribicoff | office | ""Governor of Connecticut""']",,,,,
,,,Lexicalisation: American Abraham A. Ribicoff was a member of the Democratic Party in the United States. He was the Governor of Connecticut and died in New York City.,,,,,
5,5,a,Translation:  Američan Abraham A. Ribicoff byl členem Demokratické strany ve Spojených státech. Byl guvernérem Connecticutu a zemřel v New Yorku.,,,,,
,,,Lexicalisation: Abraham A. Ribicoff was born in the U.S and was a United States national. He was a member of the United States Democratic party and served as the governor of Connecticut before he died in New York city.,,,,,
5,5,a,Translation:  Abraham A. Ribicoff se narodil v USA a byl státním příslušníkem Spojených států. Byl členem Demokratické strany Spojených států a před smrtí v New Yorku působil jako guvernér Connecticutu.,,,,,
,,,"Lexicalisation: An American National, Abraham A Ribicoff was born in the United States and passed away in New York City. Abraham A. Ribicoff was a member of the Democratic Party in the United States and worked as Governor of Connecticut.",,,,,
5,5,a,"Translation:  Americký státní příslušník, Abraham A Ribicoff se narodil ve Spojených státech a zemřel v New Yorku. Abraham A. Ribicoff byl členem Demokratické strany ve Spojených státech a pracoval jako guvernér Connecticutu.",,,,,
,,,"RDF triples:  ['Addiction_(journal) | publisher | Wiley-Blackwell', 'Addiction_(journal) | issnNumber | ""0965-2140""', 'Addiction_(journal) | LCCN_number | 93645978', 'Addiction_(journal) | abbreviation | ""Addiction""']",,,,,
,,,"Lexicalisation: Addiction journal (abbreviated to Addiction) is published by Wiley-Blackwell. It has the ISSN number 0965-2140, and the LCCN number 93645978.",,,,,
5,4,c,Translation:  Časopis Závislost (zkráceně Addiction) vydává Wiley-Blackwell. Má číslo ISSN 0965-2140 a číslo LCCN 93645978.,,,,,
,,,"Lexicalisation: Wiley-Blackwell is the publisher of Addiction (journal), known as Addiction, ISSN number of 0965-2140 and LCCN number 93645978.",,,,,
5,5,a,"Translation:  Wiley-Blackwell je vydavatelem časopisu Addiction (Závislost), známého jako Addiction, ISSN číslo 0965-2140 a LCCN číslo 93645978.",,,,,
,,,Lexicalisation: The Addiction journal (abbreviated to Addiction) was published by Wiley-Blackwell. It has an ISSN number of 0965-2140 and an LCCN number of 93645978.,,,,,
,,,Translation:  Časopis Závislost (zkráceně Závislost) vydal Wiley-Blackwell. Má číslo ISSN 0965-2140 a číslo LCCN 93645978.,,,,,
,,,"RDF triples:  ['Athens_International_Airport | cityServed | Athens', 'Athens | country | Greece', 'Greece | language | Greek_language', 'Greece | leader | Nikos_Voutsis', 'Greece | leader | Prokopis_Pavlopoulos']",,,,,
,,,Lexicalisation: The Athens International Airport serves the city of Athens in Greece. The leaders of Greece are Nikos Voutsis and Prokopis Pavlopoulos. Greek is spoken in that country.,,,,,
5,4,c,Translation:  Aténské mezinárodní letiště obsluhuje město Atény v Řecku. Vedoucími představiteli Řecka jsou Nikos Voutsis a Prokopis Pavlopoulos. V té zemi se mluví řecky.,,,,,
,,,"Lexicalisation: Athens International Airport serves the city of Athens, Greece. Two leaders there are Nikos Voutsis and Prokopis Pavlopoulos. Greek is the language of Greece.",,,,,
4,3,c,Translation:  Aténské mezinárodní letiště slouží městu Atény v Řecku. Dva vedoucí jsou Nikos Voutsis a Prokopis Pavlopoulos. Řečtina je řečtina.,,,,,
,,,"RDF triples:  ['India | largestCity | Mumbai', 'AWH_Engineering_College | country | India', 'AWH_Engineering_College | state | Kerala', 'AWH_Engineering_College | city | ""Kuttikkattoor""']",,,,,
,,,"Lexicalisation: The AWH Engineering College is located in Kuttikkattoor, Kerala, India. Mumbai is the largest city in India.",,,,,
5,5,a,Translation:  AWH Engineering College sídlí v Kuttikkattooru v indické Kérale. Bombaj je největší město v Indii.,,,,,
,,,"Lexicalisation: The AWH Engineering College is located in the city of Kuttikkattoor in the state of Kerala, India. The largest city in India is Mumbai.",,,,,
5,5,a,Translation:  AWH Engineering College se nachází ve městě Kuttikkattoor ve státě Kerala v Indii. Největším městem v Indii je Bombaj.,,,,,
,,,RDF triples:  ['Bandeja_paisa | ingredient | Fried_egg'],,,,,
,,,Lexicalisation: Fried egg is an ingredient of Bandeja paisa.,,,,,
3,5,c,Translation:  Smažené vejce je ingrediencí Bandeja paisa.,,,,,
,,,Lexicalisation: Fried egg is one of the ingredients of Bandeja paisa.,,,,,
3,5,c,Translation:  Smažené vejce je jednou z ingrediencí Bandeja paisa.,,,,,
,,,Lexicalisation: Fried egg is an ingredient in bandeja paisa.,,,,,
3,3,c,Translation:  Smažené vejce je přísada do bandeja paisa.,,,,,
,,,RDF triples:  ['Andra_(singer) | genre | Dance-pop'],,,,,
,,,Lexicalisation: The musical genre of the singer Andra is dance pop.,,,,,
5,5,a,Translation:  Hudebním žánrem zpěvačky Andry je taneční pop.,,,,,
,,,Lexicalisation: Andra is a singer and her music genre is Dance-pop.,,,,,
5,5,a,Translation:  Andra je zpěvačka a její hudební žánr je Dance-pop.,,,,,
,,,Lexicalisation: Andra is a singer of Dance-pop music.,,,,,
5,5,a,Translation:  Andra je zpěvačka Dance-pop music.,,,,,
,,,"RDF triples:  ['Ardmore_Airport_(New_Zealand) | runwayLength | 597.0', 'Ardmore_Airport_(New_Zealand) | 3rdRunwaySurfaceType | Poaceae', 'Ardmore_Airport_(New_Zealand) | elevationAboveTheSeaLevel | 34.0', 'Ardmore_Airport_(New_Zealand) | runwayName | ""03L/21R""']",,,,,
,,,Lexicalisation: New Zealand's Adrmore Airport has a runway length of 597 metres and is 34 meters above sea level. Its 3rd runway surface is consists of Poaceae and its runway name is 03L/21R.,,,,,
,,,Translation:  Novozélandské letiště Adrmore má délku vzletové a přistávací dráhy 597 metrů a je 34 metrů nad mořem. Jeho třetí vzletovou a přistávací plochu tvoří Poaceae a jeho název je 03L/21R.,,,,,
,,,Lexicalisation: Ardmore Airport (New Zealand) is 34 meters above sea level. Its 3rd runway has the surface type of poaceae and is 597.0 in length with the name 03L/21R.,,,,,
,,,"Translation:  Letiště Ardmore (Nový Zéland) leží ve výšce 34 metrů nad mořem. Jeho 3. dráha má povrchový typ poaceae a je dlouhá 597,0 s názvem 03L/21R.",,,,,
,,,Lexicalisation: Ardmore Airport in New Zealand is 34 metres above sea level and has a 3rd runway made of poaceae. The runway name is 03L/21R and it has a length of 597.0.,,,,,
,,,"Translation:  Letiště Ardmore na Novém Zélandu leží ve výšce 34 metrů nad mořem a má třetí ranvej z poaceae. Název dráhy je 03L/21R a má délku 597,0.",,,,,
